nba_id,player_name,first_name,last_name,season,season_label,team,lebron_team_string,position,games_played,minutes_played,team_mpg,lebron_mpg,lebron,o_lebron,d_lebron,war,off_role,def_role,team_wins,team_losses,team_win_pct,is_multi_team,team_count,name_match_key,name_match_status,basketball_reference_name,data_source,source_url
2544,Lebron James,Lebron,James,2026,2025-26,LAL,LAL,SF,60,1989,33.15,33.15,2.491,2.095,0.396,6.154,Shot Creator,Helper,53,29,0.646,false,1,lebron james,exact_name,Lebron James,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/LAL/2026.html
101108,Chris Paul,Chris,Paul,2026,2025-26,LAC,LAC,PG,16,228,14.25,14.221,-1.196,-1.015,-0.181,0.18,Primary Ball Handler,Chaser,42,40,0.512,false,1,chris paul,exact_name,Chris Paul,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/LAC/2026.html
201142,Kevin Durant,Kevin,Durant,2026,2025-26,HOU,HOU,SF,78,2840,36.41,36.404,2.377,2.519,-0.142,8.586,Shot Creator,Helper,52,30,0.634,false,1,kevin durant,exact_name,Kevin Durant,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/HOU/2026.html
201143,Al Horford,Al,Horford,2026,2025-26,GSW,GSW,C,45,969,21.533,21.534,0.952,-0.187,1.139,2.072,Versatile Big,Mobile Big,37,45,0.451,false,1,al horford,exact_name,Al Horford,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/GSW/2026.html
201144,Mike Conley,Mike,Conley,2026,2025-26,MIN,MIN,PG,54,991,18.352,18.355,-0.753,-0.913,0.159,1.06,Primary Ball Handler,Point of Attack,49,33,0.598,false,1,mike conley,exact_name,Mike Conley,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/MIN/2026.html
201566,Russell Westbrook,Russell,Westbrook,2026,2025-26,SAC,SAC,SF,64,1853,28.953,28.945,-0.791,-0.146,-0.645,1.937,Shot Creator,Wing Stopper,22,60,0.268,false,1,russell westbrook,exact_name,Russell Westbrook,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/SAC/2026.html
201567,Kevin Love,Kevin,Love,2026,2025-26,UTA,UTA,PF,37,613,16.568,16.56,-0.142,0.335,-0.477,0.89,Movement Shooter,Helper,22,60,0.268,false,1,kevin love,exact_name,Kevin Love,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/UTA/2026.html
201572,Brook Lopez,Brook,Lopez,2026,2025-26,LAC,LAC,C,75,1635,21.8,21.802,-0.105,-1.182,1.077,2.413,Versatile Big,Mobile Big,42,40,0.512,false,1,brook lopez,exact_name,Brook Lopez,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/LAC/2026.html
201587,Nicolas Batum,Nicolas,Batum,2026,2025-26,LAC,LAC,PF,74,1295,17.5,17.492,-2.328,-2.151,-0.177,0.116,Stationary Shooter,Helper,42,40,0.512,false,1,nicolas batum,exact_name,Nicolas Batum,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/LAC/2026.html
201935,James Harden,James,Harden,2026,2025-26,LAC,LAC/CLE,PG,44,1559,35.432,34.835,2.107,3.304,-1.197,6.967,Shot Creator,Helper,42,40,0.512,true,2,james harden,exact_name,James Harden,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/LAC/2026.html
201935,James Harden,James,Harden,2026,2025-26,CLE,LAC/CLE,PG,26,879,33.808,34.835,2.107,3.304,-1.197,6.967,Shot Creator,Helper,52,30,0.634,true,2,james harden,exact_name,James Harden,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/CLE/2026.html
201939,Stephen Curry,Stephen,Curry,2026,2025-26,GSW,GSW,PG,43,1329,30.907,30.897,3.143,4.294,-1.15,4.639,Primary Ball Handler,Low Activity,37,45,0.451,false,1,stephen curry,exact_name,Stephen Curry,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/GSW/2026.html
201942,Demar Derozan,Demar,Derozan,2026,2025-26,SAC,SAC,PF,77,2406,31.247,31.239,-1.154,0.113,-1.267,1.968,Shot Creator,Low Activity,22,60,0.268,false,1,demar derozan,exact_name,Demar Derozan,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/SAC/2026.html
201950,Jrue Holiday,Jrue,Holiday,2026,2025-26,POR,POR,PG,53,1560,29.434,29.44,1.49,0.806,0.684,3.861,Shot Creator,Helper,42,40,0.512,false,1,jrue holiday,exact_name,Jrue Holiday,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/POR/2026.html
202331,Paul George,Paul,George,2026,2025-26,PHI,PHI,PF,37,1135,30.676,30.675,1.746,1.277,0.469,2.989,Shot Creator,Helper,45,37,0.549,false,1,paul george,exact_name,Paul George,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/PHI/2026.html
202685,Jonas Valanciunas,Jonas,Valanciunas,2026,2025-26,DEN,DEN,C,65,871,13.4,13.4,-0.288,0.167,-0.455,1.185,Post Scorer,Anchor Big,54,28,0.659,false,1,jonas valanciunas,exact_name,Jonas Valanciunas,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/DEN/2026.html
202691,Klay Thompson,Klay,Thompson,2026,2025-26,DAL,DAL,SF,69,1497,21.696,21.69,-2.461,-0.445,-2.016,0.011,Off Screen Shooter,Chaser,26,56,0.317,false,1,klay thompson,exact_name,Klay Thompson,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/DAL/2026.html
202695,Kawhi Leonard,Kawhi,Leonard,2026,2025-26,LAC,LAC,SF,65,2085,32.077,32.072,5.041,4.835,0.205,9.616,Shot Creator,Helper,42,40,0.512,false,1,kawhi leonard,exact_name,Kawhi Leonard,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/LAC/2026.html
202696,Nikola Vucevic,Nikola,Vucevic,2026,2025-26,CHI,CHI/BOS,C,48,1480,30.833,28.407,0.593,0.368,0.225,3.48,Versatile Big,Mobile Big,31,51,0.378,true,2,nikola vucevic,exact_name,Nikola Vucevic,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/CHI/2026.html
202696,Nikola Vucevic,Nikola,Vucevic,2026,2025-26,BOS,CHI/BOS,C,16,338,21.125,28.407,0.593,0.368,0.225,3.48,Versatile Big,Mobile Big,56,26,0.683,true,2,nikola vucevic,exact_name,Nikola Vucevic,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/BOS/2026.html
202699,Tobias Harris,Tobias,Harris,2026,2025-26,DET,DET,PF,63,1746,27.714,27.703,1.552,1.026,0.526,4.386,Movement Shooter,Wing Stopper,60,22,0.732,false,1,tobias harris,exact_name,Tobias Harris,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/DET/2026.html
202710,Jimmy Butler Iii,Jimmy,Butler Iii,2026,2025-26,GSW,GSW,SF,38,1182,31.105,31.096,3.115,2.85,0.264,4.106,Shot Creator,Wing Stopper,37,45,0.451,false,1,jimmy butler iii,exact_name,Jimmy Butler Iii,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/GSW/2026.html
203076,Anthony Davis,Anthony,Davis,2026,2025-26,DAL,DAL,PF,20,626,31.3,31.28,1.602,0.647,0.955,1.592,Shot Creator,Mobile Big,26,56,0.317,false,1,anthony davis,exact_name,Anthony Davis,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/DAL/2026.html
203083,Andre Drummond,Andre,Drummond,2026,2025-26,PHI,PHI,C,63,1231,19.54,19.534,-0.2,-0.415,0.216,1.743,Roll + Cut Big,Anchor Big,45,37,0.549,false,1,andre drummond,exact_name,Andre Drummond,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/PHI/2026.html
203084,Harrison Barnes,Harrison,Barnes,2026,2025-26,SAS,SAS,PF,77,1986,25.792,25.797,0.092,0.274,-0.182,3.177,Movement Shooter,Helper,62,20,0.756,false,1,harrison barnes,exact_name,Harrison Barnes,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/SAS/2026.html
203110,Draymond Green,Draymond,Green,2026,2025-26,GSW,GSW,PF,68,1869,27.485,27.481,-0.75,-2.015,1.265,2.002,Stationary Shooter,Helper,37,45,0.451,false,1,draymond green,exact_name,Draymond Green,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/GSW/2026.html
